,Pathway,N,DE,P.DE
hsa04820,Cytoskeleton in muscle cells,232,3,0.0238681031644599
hsa04910,Insulin signaling pathway,138,0,1
hsa04911,Insulin secretion,86,0,1
hsa04912,GnRH signaling pathway,93,0,1
hsa04913,Ovarian steroidogenesis,52,0,1
hsa04914,Progesterone-mediated oocyte maturation,111,0,1
hsa04915,Estrogen signaling pathway,139,0,1
hsa04916,Melanogenesis,101,0,1
hsa04917,Prolactin signaling pathway,71,0,1
hsa04918,Thyroid hormone synthesis,75,0,1
hsa04919,Thyroid hormone signaling pathway,122,0,1
hsa04920,Adipocytokine signaling pathway,70,0,1
hsa04921,Oxytocin signaling pathway,155,0,1
hsa04922,Glucagon signaling pathway,107,1,0.253073729172465
hsa04923,Regulation of lipolysis in adipocytes,59,0,1
hsa04924,Renin secretion,69,0,1
hsa04925,Aldosterone synthesis and secretion,98,0,1
hsa04926,Relaxin signaling pathway,130,0,1
hsa04927,Cortisol synthesis and secretion,65,0,1
hsa04928,Parathyroid hormone synthesis_secretion and action,115,0,1
hsa04929,GnRH secretion,65,0,1
hsa04930,Type II diabetes mellitus,47,0,1
hsa04931,Insulin resistance,109,0,1
hsa04932,Non-alcoholic fatty liver disease,157,0,1
hsa04933,AGE-RAGE signaling pathway in diabetic complications,101,0,1
hsa04934,Cushing syndrome,155,0,1
hsa04935,Growth hormone synthesis_secretion and action,122,0,1
hsa04936,Alcoholic liver disease,144,0,1
hsa04940,Type I diabetes mellitus,44,2,0.00619861647228031
hsa04950,Maturity onset diabetes of the young,26,0,1
hsa04960,Aldosterone-regulated sodium reabsorption,38,0,1
hsa04961,Endocrine and other factor-regulated calcium reabsorption,53,0,1
hsa04962,Vasopressin-regulated water reabsorption,44,0,1
hsa04964,Proximal tubule bicarbonate reclamation,23,0,1
hsa04966,Collecting duct acid secretion,28,0,1
hsa04970,Salivary secretion,97,0,1
hsa04971,Gastric acid secretion,76,0,1
hsa04972,Pancreatic secretion,106,0,1
hsa04973,Carbohydrate digestion and absorption,52,0,1
hsa04974,Protein digestion and absorption,105,0,1
hsa04975,Fat digestion and absorption,43,0,1
hsa04976,Bile secretion,90,0,1
hsa04977,Vitamin digestion and absorption,26,0,1
hsa04978,Mineral absorption,61,0,1
hsa04979,Cholesterol metabolism,51,0,1
hsa04980,Cobalamin transport and metabolism,18,0,1
hsa04981,Folate transport and metabolism,31,0,1
hsa05010,Alzheimer disease,391,0,1
hsa05012,Parkinson disease,271,0,1
hsa05014,Amyotrophic lateral sclerosis,371,0,1
hsa05016,Huntington disease,311,0,1
hsa05017,Spinocerebellar ataxia,144,0,1
hsa05020,Prion disease,278,1,0.5349442886103
hsa05022,Pathways of neurodegeneration - multiple diseases,483,0,1
hsa05030,Cocaine addiction,49,0,1
hsa05031,Amphetamine addiction,69,0,1
hsa05032,Morphine addiction,91,0,1
hsa05033,Nicotine addiction,41,0,1
hsa05034,Alcoholism,191,0,1
hsa05100,Bacterial invasion of epithelial cells,78,1,0.191322238068847
hsa05110,Vibrio cholerae infection,51,0,1
hsa05120,Epithelial cell signaling in Helicobacter pylori infection,71,1,0.175699679242104
hsa05130,Pathogenic Escherichia coli infection,203,2,0.103680966107855
hsa05131,Shigellosis,253,3,0.0298616980369896
hsa05132,Salmonella infection,251,1,0.498504881739511
hsa05133,Pertussis,78,1,0.191322238068847
hsa05134,Legionellosis,56,0,1
hsa05135,Yersinia infection,138,3,0.00587837966191907
hsa05140,Leishmaniasis,79,1,0.193530734460102
hsa05142,Chagas disease,103,2,0.0312437946818386
hsa05143,African trypanosomiasis,37,0,1
hsa05144,Malaria,50,0,1
hsa05145,Toxoplasmosis,112,1,0.263253151531458
hsa05146,Amoebiasis,103,0,1
hsa05150,Staphylococcus aureus infection,102,0,1
hsa05152,Tuberculosis,182,1,0.392528014460535
hsa05160,Hepatitis C,159,1,0.352660222745078
hsa05161,Hepatitis B,163,1,0.359769303665049
hsa05162,Measles,139,1,0.315965106282252
hsa05163,Human cytomegalovirus infection,226,3,0.0222907004104203
hsa05164,Influenza A,173,1,0.377216171251084
hsa05165,Human papillomavirus infection,333,2,0.227221707348844
hsa05166,Human T-cell leukemia virus 1 infection,224,2,0.122106556851216
hsa05167,Kaposi sarcoma-associated herpesvirus infection,196,1,0.41563161731593
hsa05168,Herpes simplex virus 1 infection,182,2,0.0861618173890205
hsa05169,Epstein-Barr virus infection,204,2,0.104539010552244
hsa05170,Human immunodeficiency virus 1 infection,213,3,0.019078415132937
hsa05171,Coronavirus disease - COVID-19,238,0,1
hsa05200,Pathways in cancer,533,1,0.774627260016928
hsa05202,Transcriptional misregulation in cancer,201,1,0.423676951994152
hsa05203,Viral carcinogenesis,205,1,0.430036683502295
hsa05204,Chemical carcinogenesis - DNA adducts,71,0,1
hsa05205,Proteoglycans in cancer,204,1,0.428453085493967
hsa05206,MicroRNAs in cancer,312,1,0.57723166870936
hsa05207,Chemical carcinogenesis - receptor activation,215,0,1
